ranking	long name	sample name	gain in OD (space)	gain in OD (ground)	alive
1	Pop Warner Chittenango	Chit1C	0.9916	0.4073	True
2	Smithsonian A&S Museum	SMI9	0.9633	1.0295	True
3	Pop Warner Saints	PWS2AY	0.8961	0.8858	True
4	Pop Warner Lake Brantley	PWLB1C	0.8804	0.9726	True
5	SF 49ers	FN1H	0.8612	1.0877	True
6	Tennessee Titans	TIT1C	0.8488	0.977	True
7	Mars Exploration Rover (JPL)	273.1.3	0.8385	0.92	True
8	Pop Warner Bengals	PW-PWB2A2	0.8239	0.9501	True
9	Liberty Bell	LB3A	0.821	1.0273	True
10	Washington D.C. NFL team	RED1C	0.8142	0.7939	True
11	AT&T Park (San Francisco)	ATT5A	0.806	0.8622	True
12	Insight 2016 Robotic Arm	InSight12-2	0.7615	0.7033	True
13	Oakland Raiders	RAID3B	0.7469	0.8683	True
14	Parkway Middle School	PM1B	0.7377	0.9416	True
15	San Antonio Spurs	Spurs2	0.7063	0.7326	True
16	Mars Exploration Rover (JPL)	MER 157	0.6994	0.2143	True
17	Chapman Hill Elementary	CH2B	0.6924	1.0836	True
18	Today Show	TOD3A	0.6888	0.7096	True
19	Yuri's Night: Los Angeles	YNLA1	0.6638	0.9592	True
20	Chemical Heritage Foundation	CHF3A	0.6626	0.9337	True
21	1975 Viking Mars Orbiter	OB179	0.6282	0.7108	True
22	Deerfield Academy	D1B	0.6188	0.5131	True
23	Orlando Magic	ORL2	0.5993	0.3347	True
24	Franklin Institute (PA)	FI1B	0.5872	0.3349	True
25	Philadelphia 76ers	SN8	0.5781	0.4218	True
26	Chicago Field Museum	FM1B	0.5724	0.8126	True
27	Discover Magazine	DIS2A	0.5722	0.716	True
28	Pop Warner Apopka	PWA1C	0.5605	0.1433	True
29	Yuri's Night: North Carolina	YNNC1	0.5468	0.7258	True
30	Pop Warner Coronado	PWCor2B	0.5316	0.2559	True
31	Sacramento Kings	SK5	0.5269	0.5717	True
32	St. Joseph's Prep School	STJO1A	0.519	0.9437	True
33	Mars Exploration Rover (JPL)	MER TA 108	0.4959	0.5779	True
34	WHYY Radio	WHYY3B	0.489	0.6624	True
35	Mars Exploration Rover (JPL)	MER TA 21	0.4542	0.695	True
36	Academy of Natural Sciences 	ANS3A	0.4513	0.7133	True
37	Georgia Tech	G4B	0.4497	0.6142	True
38	Mars Exploration Rover (JPL)	MER TA 8-2	0.4457	0.5223	True
39	New England Patriots	PATS2B	0.4405	0.3932	True
40	Mars Exploration Rover (JPL)	MER TA 28	0.4366	0.3714	True
41	Pop Warner Broncos	MI1C	0.4063	0.4698	True
42	Philadelphia Phillies	Phillies10A	0.3715	0.5301	True
43	Denver Museum of Natural History	DMNS8A	0.3463	0.4545	True
44	KARE 11 Kitchen Show	Kit3	0.3367	0.7733	True
45	Davis, California	THU	0.2515	0.3296	True
46	Yuri's Night: New York	YNNY5	0.1763	0.7384	True
47	Catholic Montessori School	MONT1D	0.1078	0.4049	True
48	UC Davis	COR2C	0.1064	0.9961	True
